periodName,period,value,year,seriesID,region
May,05,4.6,1999,LAURD820000000000003,2
April,04,4.7,1999,LAURD820000000000003,2
March,03,5.1,1999,LAURD820000000000003,2
February,02,5.5,1999,LAURD820000000000003,2
January,01,5.4,1999,LAURD820000000000003,2
December,12,4.5,1998,LAURD820000000000003,2
November,11,4.6,1998,LAURD820000000000003,2
October,10,4.7,1998,LAURD820000000000003,2
September,09,4.8,1998,LAURD820000000000003,2
August,08,4.8,1998,LAURD820000000000003,2
July,07,5.2,1998,LAURD820000000000003,2
June,06,5.0,1998,LAURD820000000000003,2
May,05,4.9,1998,LAURD820000000000003,2
April,04,4.8,1998,LAURD820000000000003,2
March,03,5.8,1998,LAURD820000000000003,2
February,02,6.0,1998,LAURD820000000000003,2
January,01,6.0,1998,LAURD820000000000003,2
December,12,5.0,1997,LAURD820000000000003,2
November,11,5.0,1997,LAURD820000000000003,2
October,10,5.2,1997,LAURD820000000000003,2
September,09,5.5,1997,LAURD820000000000003,2
August,08,5.6,1997,LAURD820000000000003,2
July,07,6.0,1997,LAURD820000000000003,2
June,06,5.9,1997,LAURD820000000000003,2
May,05,5.7,1997,LAURD820000000000003,2
April,04,5.7,1997,LAURD820000000000003,2
March,03,6.4,1997,LAURD820000000000003,2
February,02,6.6,1997,LAURD820000000000003,2
January,01,6.7,1997,LAURD820000000000003,2
December,12,5.5,1996,LAURD820000000000003,2
November,11,5.5,1996,LAURD820000000000003,2
October,10,5.3,1996,LAURD820000000000003,2
September,09,5.4,1996,LAURD820000000000003,2
August,08,5.5,1996,LAURD820000000000003,2
July,07,6.2,1996,LAURD820000000000003,2
June,06,5.8,1996,LAURD820000000000003,2
May,05,6.1,1996,LAURD820000000000003,2
April,04,6.1,1996,LAURD820000000000003,2
March,03,6.6,1996,LAURD820000000000003,2
February,02,6.7,1996,LAURD820000000000003,2
January,01,6.9,1996,LAURD820000000000003,2
December,12,5.8,1995,LAURD820000000000003,2
November,11,5.8,1995,LAURD820000000000003,2
October,10,5.7,1995,LAURD820000000000003,2
September,09,6.0,1995,LAURD820000000000003,2
August,08,6.1,1995,LAURD820000000000003,2
July,07,6.4,1995,LAURD820000000000003,2
June,06,6.2,1995,LAURD820000000000003,2
May,05,6.2,1995,LAURD820000000000003,2
April,04,6.2,1995,LAURD820000000000003,2
March,03,6.4,1995,LAURD820000000000003,2
February,02,6.6,1995,LAURD820000000000003,2
January,01,6.8,1995,LAURD820000000000003,2
December,12,6.9,1994,LAURD890000000000003,9
November,11,7.2,1994,LAURD890000000000003,9
October,10,7.2,1994,LAURD890000000000003,9
September,09,7.4,1994,LAURD890000000000003,9
August,08,7.7,1994,LAURD890000000000003,9
July,07,8.1,1994,LAURD890000000000003,9
June,06,7.9,1994,LAURD890000000000003,9
May,05,7.6,1994,LAURD890000000000003,9
April,04,8.3,1994,LAURD890000000000003,9
March,03,8.8,1994,LAURD890000000000003,9
February,02,9.2,1994,LAURD890000000000003,9
January,01,9.3,1994,LAURD890000000000003,9
December,12,8.1,1993,LAURD890000000000003,9
November,11,8.4,1993,LAURD890000000000003,9
October,10,8.4,1993,LAURD890000000000003,9
September,09,8.3,1993,LAURD890000000000003,9
August,08,8.5,1993,LAURD890000000000003,9
July,07,8.9,1993,LAURD890000000000003,9
June,06,8.9,1993,LAURD890000000000003,9
May,05,8.5,1993,LAURD890000000000003,9
April,04,8.9,1993,LAURD890000000000003,9
March,03,9.4,1993,LAURD890000000000003,9
February,02,9.8,1993,LAURD890000000000003,9
January,01,9.8,1993,LAURD890000000000003,9
December,12,6.7,2002,LAURD890000000000003,9
November,11,6.8,2002,LAURD890000000000003,9
October,10,6.4,2002,LAURD890000000000003,9
September,09,6.3,2002,LAURD890000000000003,9
August,08,6.7,2002,LAURD890000000000003,9
July,07,6.9,2002,LAURD890000000000003,9
June,06,6.8,2002,LAURD890000000000003,9
May,05,6.3,2002,LAURD890000000000003,9
April,04,6.8,2002,LAURD890000000000003,9
March,03,7.1,2002,LAURD890000000000003,9
February,02,7.1,2002,LAURD890000000000003,9
January,01,7.3,2002,LAURD890000000000003,9
December,12,6.4,2001,LAURD890000000000003,9
November,11,6.4,2001,LAURD890000000000003,9
October,10,5.9,2001,LAURD890000000000003,9
September,09,5.6,2001,LAURD890000000000003,9
August,08,5.8,2001,LAURD890000000000003,9
July,07,5.6,2001,LAURD890000000000003,9
June,06,5.4,2001,LAURD890000000000003,9
May,05,4.9,2001,LAURD890000000000003,9
April,04,5.2,2001,LAURD890000000000003,9
March,03,5.5,2001,LAURD890000000000003,9
